
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:31586","MIR21","microRNA 21","MIRN21","hsa-mir-21,MIR-21","17q23.1"
"HGNC:31599","MIR22","microRNA 22","MIRN22","hsa-mir-22","17p13.3"
"HGNC:38913","MIR23C","microRNA 23c","","hsa-mir-23c","Xp22.12"
"HGNC:31630","MIR31","microRNA 31","MIRN31","hsa-mir-31","9p21.3"
"HGNC:31631","MIR32","microRNA 32","MIRN32","hsa-mir-32","9q31.3"
"HGNC:31648","MIR96","microRNA 96","MIRN96,DFNA50","hsa-mir-96","7q32.2"
"HGNC:31501","MIR122","microRNA 122","MIRN122A,MIRN122","hsa-mir-122a,hsa-mir-122,miR-122","18q21.31"
"HGNC:31508","MIR126","microRNA 126","MIRN126","hsa-mir-126","9q34.3"
"HGNC:31509","MIR127","microRNA 127","MIRN127","hsa-mir-127","14q32.2"
"HGNC:31519","MIR134","microRNA 134","MIRN134","hsa-mir-134","14q32.31"
"HGNC:31522","MIR136","microRNA 136","MIRN136","hsa-mir-136","14q32.2"
"HGNC:31523","MIR137","microRNA 137","MIRN137","hsa-mir-137,miR-137","1p21.3"
"HGNC:31526","MIR139","microRNA 139","MIRN139","hsa-mir-139","11q13.4"
"HGNC:31527","MIR140","microRNA 140","MIRN140","hsa-mir-140","16q22.1"
"HGNC:31529","MIR142","microRNA 142","MIRN142","hsa-mir-142","17q22"
"HGNC:31530","MIR143","microRNA 143","MIRN143","hsa-mir-143","5q32"
"HGNC:31531","MIR144","microRNA 144","MIRN144","hsa-mir-144","17q11.2"
"HGNC:31532","MIR145","microRNA 145","MIRN145","hsa-mir-145,MIR-145","5q32"
"HGNC:31536","MIR149","microRNA 149","MIRN149","hsa-mir-149","2q37.3"
"HGNC:31537","MIR150","microRNA 150","MIRN150","hsa-mir-150","19q13.33"
"HGNC:31542","MIR155","microRNA 155","MIRN155","hsa-mir-155","21q21.3"
